timestamp,branch,wind_direction,wind_speed,rain_daily,rain_1h,humidity,temperature_chill,temperature,year,month,day,hour,heat_demand
2023-01-01 00:00:00,강남,97.9,0.6,0.0,0.0,71.5,-0.4,-0.5,2023,1,1,0,606.0
2023-01-01 00:00:00,고양,132.7,0.3,0.0,0.0,94.7,-0.6,-1.4,2023,1,1,0,580.0
2023-01-01 00:00:00,광교,279.9,0.2,0.0,0.0,72.2,-2.4,-1.3,2023,1,1,0,90.0
2023-01-01 00:00:00,김해,320.0,1.1,0.0,0.0,61.7,-1.6,-0.7,2023,1,1,0,67.0
2023-01-01 00:00:00,대구,247.0,1.5,0.0,0.0,67.3,-5.0,-1.6,2023,1,1,0,279.0
2023-01-01 00:00:00,동탄,209.9,0.1,0.0,0.0,91.7,-3.3,-5.2,2023,1,1,0,201.0
2023-01-01 00:00:00,분당,360.0,0.0,0.0,0.0,75.3,-1.8,-0.7,2023,1,1,0,376.0
2023-01-01 00:00:00,삼송,305.8,0.1,0.0,0.0,69.6,0.2,0.5,2023,1,1,0,145.0
2023-01-01 00:00:00,세종,360.0,0.0,0.0,0.0,75.3,-3.9,-3.1,2023,1,1,0,242.0
2023-01-01 00:00:00,수원,102.4,0.1,0.0,0.0,80.0,-3.4,-3.9,2023,1,1,0,382.0
2023-01-01 00:00:00,양산,175.3,0.4,0.0,0.0,58.8,-0.4,0.6,2023,1,1,0,90.0
2023-01-01 00:00:00,용인,102.4,0.1,0.0,0.0,80.0,-3.4,-3.9,2023,1,1,0,546.0
2023-01-01 00:00:00,중앙,319.7,0.7,0.0,0.0,67.9,0.9,0.6,2023,1,1,0,244.0
2023-01-01 00:00:00,청주,360.0,0.0,0.0,0.0,80.1,-4.2,-2.5,2023,1,1,0,193.0
2023-01-01 00:00:00,파주,48.6,1.0,0.0,0.0,77.4,-1.7,-0.9,2023,1,1,0,155.0
2023-01-01 00:00:00,판교,360.0,0.0,0.0,0.0,75.3,-1.8,-0.7,2023,1,1,0,93.0
2023-01-01 00:00:00,평택,148.1,1.0,0.0,0.0,79.9,-3.6,-1.7,2023,1,1,0,45.0
2023-01-01 00:00:00,화성,360.0,0.0,0.0,0.0,78.6,-4.6,-1.8,2023,1,1,0,189.0
2023-01-01 00:00:00,광주전남,143.5,0.2,0.0,0.0,97.9,-3.5,-3.6,2023,1,1,0,33.0
2023-01-01 01:00:00,강남,103.7,1.0,0.0,0.0,68.1,0.1,0.3,2023,1,1,1,553.0
2023-01-01 01:00:00,고양,99.1,0.5,0.0,0.0,94.3,-0.8,-1.2,2023,1,1,1,587.0
2023-01-01 01:00:00,광교,279.9,0.5,0.0,0.0,72.0,-2.2,-1.1,2023,1,1,1,105.0
2023-01-01 01:00:00,김해,320.1,1.1,0.0,0.0,61.9,-1.7,-0.6,2023,1,1,1,64.0
2023-01-01 01:00:00,대구,246.2,2.8,0.0,0.0,66.7,-5.3,-1.2,2023,1,1,1,230.0
2023-01-01 01:00:00,동탄,206.6,0.2,0.0,0.0,92.0,-3.3,-5.4,2023,1,1,1,193.0
2023-01-01 01:00:00,분당,147.4,1.3,0.0,0.0,69.0,-0.8,0.8,2023,1,1,1,359.0
2023-01-01 01:00:00,삼송,161.1,0.9,0.0,0.0,70.2,0.0,0.5,2023,1,1,1,133.0
2023-01-01 01:00:00,세종,328.2,0.3,0.0,0.0,77.4,-4.5,-3.7,2023,1,1,1,237.0
2023-01-01 01:00:00,수원,154.1,0.4,0.0,0.0,81.6,-3.0,-3.7,2023,1,1,1,354.0
2023-01-01 01:00:00,양산,187.9,2.4,0.0,0.0,54.4,-2.1,1.9,2023,1,1,1,90.0
2023-01-01 01:00:00,용인,154.1,0.4,0.0,0.0,81.6,-3.0,-3.7,2023,1,1,1,492.0
2023-01-01 01:00:00,중앙,302.4,0.8,0.0,0.0,66.8,1.3,0.9,2023,1,1,1,223.0
2023-01-01 01:00:00,청주,360.0,0.0,0.0,0.0,81.1,-4.8,-3.0,2023,1,1,1,183.0
2023-01-01 01:00:00,파주,90.9,1.1,0.0,0.0,80.0,-2.3,-1.4,2023,1,1,1,137.0
2023-01-01 01:00:00,판교,147.4,1.3,0.0,0.0,69.0,-0.8,0.8,2023,1,1,1,97.0
2023-01-01 01:00:00,평택,142.2,2.0,0.0,0.0,81.1,-4.0,-2.3,2023,1,1,1,25.0
2023-01-01 01:00:00,화성,176.7,0.8,0.0,0.0,76.4,-4.7,-1.1,2023,1,1,1,179.0
2023-01-01 01:00:00,광주전남,4.5,0.9,0.0,0.0,97.5,-3.5,-3.5,2023,1,1,1,29.0
2023-01-01 02:00:00,강남,62.5,0.4,0.0,0.0,71.7,0.0,-0.1,2023,1,1,2,544.0
2023-01-01 02:00:00,고양,74.3,1.1,0.0,0.0,99.0,-1.5,-1.6,2023,1,1,2,515.0
2023-01-01 02:00:00,광교,279.9,0.3,0.0,0.0,73.7,-2.2,-1.5,2023,1,1,2,103.0
2023-01-01 02:00:00,김해,320.6,0.2,0.0,0.0,63.5,-1.0,-1.1,2023,1,1,2,62.0
2023-01-01 02:00:00,대구,267.6,2.5,0.0,0.0,60.7,-5.7,-0.4,2023,1,1,2,237.0
2023-01-01 02:00:00,동탄,227.2,0.1,0.0,0.0,92.8,-3.8,-6.0,2023,1,1,2,187.0
2023-01-01 02:00:00,분당,156.7,0.8,0.0,0.0,65.4,-0.6,1.2,2023,1,1,2,353.0
2023-01-01 02:00:00,삼송,360.0,0.0,0.0,0.0,74.5,-0.1,0.1,2023,1,1,2,137.0
2023-01-01 02:00:00,세종,360.0,0.0,0.0,0.0,77.5,-4.6,-3.5,2023,1,1,2,231.0
2023-01-01 02:00:00,수원,360.0,0.0,0.0,0.0,80.6,-3.1,-3.9,2023,1,1,2,357.0
2023-01-01 02:00:00,양산,204.4,2.4,0.0,0.0,54.0,-2.2,1.5,2023,1,1,2,86.0
2023-01-01 02:00:00,용인,360.0,0.0,0.0,0.0,80.6,-3.1,-3.9,2023,1,1,2,478.0
2023-01-01 02:00:00,중앙,278.8,0.6,0.0,0.0,69.3,1.4,1.0,2023,1,1,2,224.0
2023-01-01 02:00:00,청주,360.0,0.0,0.0,0.0,82.9,-5.1,-3.3,2023,1,1,2,182.0
2023-01-01 02:00:00,파주,41.2,0.2,0.0,0.0,84.6,-2.9,-1.8,2023,1,1,2,138.0
2023-01-01 02:00:00,판교,156.7,0.8,0.0,0.0,65.4,-0.6,1.2,2023,1,1,2,97.0
